p,rh,t,ts
101.617,79.88,21.085,1550941139.66426
101.615,79.91,21.083,1550941142.13140
101.618,79.93,21.083,1550941144.59888
101.619,79.95,21.084,1550941147.06869
101.617,79.95,21.084,1550941149.53614
101.616,79.94,21.075,1550941151.99816
101.614,79.93,21.077,1550941154.46526
101.618,79.94,21.079,1550941156.93312
101.62,79.97,21.082,1550941159.40068
101.615,79.99,21.08,1550941161.86824
101.615,80.02,21.082,1550941164.33663
101.617,80.05,21.087,1550941166.80701
101.612,80.09,21.088,1550941169.27824
101.616,80.1,21.093,1550941171.74630
101.616,80.09,21.093,1550941174.21810
101.613,80.07,21.095,1550941176.68547
101.616,80.04,21.095,1550941179.15246
101.619,80.02,21.097,1550941181.61969
101.615,80.01,21.094,1550941184.08689
101.613,80.01,21.093,1550941186.55423
101.615,80,21.101,1550941189.02142
101.62,80.01,21.108,1550941191.48867
101.616,80.02,21.116,1550941193.95844
101.615,80.03,21.12,1550941196.42842
101.616,80.03,21.123,1550941198.88798
101.617,80.02,21.127,1550941201.35919
101.613,80.03,21.125,1550941203.81902
101.616,80.02,21.129,1550941206.28650
101.616,80.02,21.129,1550941208.75377
101.621,80.02,21.132,1550941211.22117
101.618,80.01,21.134,1550941213.68885
101.617,80.03,21.134,1550941216.15633
101.616,80.05,21.14,1550941218.62355
101.618,80.04,21.143,1550941221.09129
101.616,80.03,21.145,1550941223.55940
101.614,80.03,21.139,1550941226.01792
101.614,80.03,21.151,1550941228.48377
101.617,80.03,21.155,1550941230.95574
101.618,80.01,21.159,1550941233.42357
101.617,79.98,21.164,1550941235.89159
101.615,79.94,21.15,1550941238.36308
101.615,79.92,21.16,1550941240.83210
101.616,79.91,21.154,1550941243.29982
101.615,79.91,21.164,1550941245.76636
101.62,79.91,21.159,1550941248.22793
101.616,79.91,21.16,1550941250.68797
101.619,79.91,21.165,1550941253.15507
101.616,79.93,21.165,1550941255.62239
101.622,79.95,21.178,1550941258.08979
101.618,79.97,21.183,1550941260.55819
101.617,79.98,21.183,1550941263.01788
