Chlorophyll,date,Thermistor,time,ts,Turbidity
261,02/23/19,529,16:58:58,1550977150.41334,362
264,02/23/19,528,16:58:59,1550977151.49764,337
263,02/23/19,528,16:59:01,1550977153.62842,330
260,02/23/19,528,16:59:02,1550977154.70152,332
259,02/23/19,529,16:59:03,1550977155.77200,332
260,02/23/19,529,16:59:04,1550977156.84424,339
263,02/23/19,529,16:59:05,1550977157.91653,331
261,02/23/19,529,16:59:06,1550977158.98737,338
259,02/23/19,529,16:59:07,1550977160.06580,337
257,02/23/19,529,16:59:08,1550977161.13742,337
255,02/23/19,528,16:59:10,1550977162.20907,338
256,02/23/19,528,16:59:11,1550977163.29959,330
260,02/23/19,528,16:59:13,1550977165.42564,329
260,02/23/19,529,16:59:14,1550977166.49660,333
259,02/23/19,528,16:59:15,1550977167.56873,338
254,02/23/19,529,16:59:16,1550977168.64051,335
254,02/23/19,528,16:59:17,1550977169.71536,334
254,02/23/19,529,16:59:18,1550977170.78430,334
256,02/23/19,528,16:59:19,1550977171.85640,335
257,02/23/19,529,16:59:20,1550977172.92865,338
260,02/23/19,529,16:59:21,1550977174.00048,331
262,02/23/19,529,16:59:22,1550977175.07257,331
262,02/23/19,529,16:59:23,1550977176.14450,340
259,02/23/19,529,16:59:25,1550977177.21657,332
258,02/23/19,529,16:59:26,1550977178.28867,337
259,02/23/19,529,16:59:27,1550977179.36071,337
259,02/23/19,529,16:59:28,1550977180.45007,337
257,02/23/19,529,16:59:30,1550977182.57569,334
258,02/23/19,529,16:59:31,1550977183.66251,339
259,02/23/19,529,16:59:32,1550977184.72582,342
260,02/23/19,529,16:59:33,1550977185.79776,339
261,02/23/19,528,16:59:34,1550977186.86974,367
265,02/23/19,529,16:59:35,1550977187.94192,358
262,02/23/19,529,16:59:36,1550977189.02183,333
263,02/23/19,529,16:59:37,1550977190.08555,329
264,02/23/19,529,16:59:38,1550977191.15765,331
264,02/23/19,529,16:59:40,1550977192.22965,334
