p_int,rh_int,t_int,ts
107.441,11.08,30.394,1550875895.1621835
107.436,11.08,30.381,1550875905.6978524
107.427,11.07,30.374,1550875916.2102544
107.42,11.07,30.36,1550875926.7400415
107.414,11.06,30.348,1550875937.2725651
107.408,11.07,30.328,1550875947.7966957
107.391,11.06,30.304,1550875958.3298845
107.385,11.05,30.284,1550875968.8684437
107.383,11.05,30.282,1550875979.3601573
107.367,11.05,30.257,1550875989.8829749
107.363,11.04,30.244,1550876000.408827
107.352,11.04,30.229,1550876010.9439209
107.341,11.04,30.211,1550876021.486079
107.332,11.03,30.207,1550876031.9846559
107.322,11.03,30.181,1550876042.559745
107.312,11.02,30.174,1550876053.1204607
107.304,11.02,30.158,1550876063.6152887
107.295,11.02,30.143,1550876074.1344128
107.289,11.02,30.136,1550876084.6551847
107.285,11.01,30.123,1550876095.1591892
107.275,11.01,30.088,1550876105.6908638
107.268,11.0,30.07,1550876116.242908
107.262,11.0,30.059,1550876126.7756858
107.255,11.0,30.056,1550876137.2655382
107.249,10.99,30.043,1550876147.7599607
107.24,10.99,30.023,1550876158.2637854
107.239,10.99,29.996,1550876168.7750084
107.229,10.98,29.99,1550876179.2537274
107.217,10.98,29.964,1550876189.7619975
107.211,10.98,29.938,1550876200.3035855
107.2,10.98,29.925,1550876210.8418453
107.195,10.98,29.906,1550876221.3891442
107.193,10.98,29.887,1550876231.9180434
107.188,10.97,29.874,1550876242.450891
107.186,10.97,29.857,1550876252.9685907
107.176,10.97,29.856,1550876263.4508476
107.167,10.97,29.822,1550876273.979293
107.162,10.96,29.8,1550876284.516142
107.164,10.96,29.781,1550876295.0712416
107.156,10.96,29.769,1550876305.5980165
107.154,10.96,29.749,1550876316.132679
107.147,10.96,29.751,1550876326.6192095
107.143,10.95,29.719,1550876337.1563694
107.138,10.96,29.705,1550876347.6644485
107.126,10.95,29.669,1550876358.196539
107.122,10.95,29.678,1550876368.6916234
107.116,10.95,29.655,1550876379.2051969
107.112,10.95,29.628,1550876389.7334654
107.103,10.95,29.611,1550876400.2455802
107.099,10.94,29.594,1550876410.7727323
107.097,10.96,29.582,1550876421.3234613
107.084,10.94,29.563,1550876431.853324
107.083,10.94,29.546,1550876442.3883328
107.053,10.94,29.529,1550876452.9189987
106.962,10.99,29.577,1550876463.4538343
106.949,10.99,29.626,1550876473.9971924
106.94,10.95,29.679,1550876484.5677836
106.951,10.91,29.733,1550876495.0991685
106.948,10.88,29.768,1550876505.6116626
106.952,10.85,29.799,1550876516.0909545
106.958,10.82,29.811,1550876526.6176507
106.961,10.8,29.841,1550876537.1382139
106.968,10.77,29.86,1550876547.6514173
106.976,10.76,29.872,1550876558.1858802
106.985,10.74,29.882,1550876568.713936
106.989,10.73,29.898,1550876579.236872
107.0,10.71,29.909,1550876589.7697523
107.008,10.69,29.915,1550876600.298004
107.012,10.68,29.937,1550876610.8268523
107.023,10.66,29.955,1550876621.3299682
107.031,10.66,29.96,1550876631.8475413
107.042,10.65,29.974,1550876642.3707733
107.054,10.63,29.98,1550876652.9220183
107.065,10.63,30.005,1550876663.4132683
107.073,10.62,30.004,1550876673.939755
107.076,10.61,30.023,1550876684.462089
107.088,10.6,30.033,1550876694.9748297
107.097,10.59,30.052,1550876705.4908395
107.107,10.58,30.062,1550876716.0229313
107.117,10.58,30.067,1550876726.5492222
107.121,10.58,30.083,1550876737.058024
107.214,10.57,30.08,1550876747.5669165
107.23,10.61,30.039,1550876758.0973501
107.235,10.61,30.024,1550876768.5954616
107.243,10.61,29.982,1550876779.1484666
107.249,10.61,29.964,1550876789.6798296
107.264,10.62,29.955,1550876800.180336
107.27,10.63,29.939,1550876810.7102518
107.286,10.63,29.912,1550876821.2411754
107.294,10.63,29.893,1550876831.7921722
107.313,10.64,29.906,1550876842.2700727
107.322,10.65,29.885,1550876852.7797215
107.324,10.65,29.86,1550876863.3100455
107.336,10.67,29.853,1550876873.8478818
107.342,10.68,29.837,1550876884.3798122
107.359,10.68,29.837,1550876894.915594
107.368,10.7,29.837,1550876905.4477181
107.375,10.7,29.839,1550876915.9473844
107.384,10.72,29.82,1550876926.4743485
107.393,10.73,29.823,1550876937.015262
107.402,10.74,29.815,1550876947.538182
107.413,10.75,29.826,1550876958.0679123
107.424,10.75,29.824,1550876968.5966766
107.429,10.76,29.821,1550876979.1116881
107.435,10.77,29.816,1550876989.6198504
107.444,10.78,29.822,1550877000.1309738
107.461,10.79,29.827,1550877010.6209056
107.465,10.8,29.833,1550877021.116305
107.471,10.81,29.813,1550877031.6520503
107.481,10.81,29.831,1550877042.1484659
107.496,10.82,29.841,1550877052.634101
