p,rh,t,ts
101.485,49.16,31.653,1550873681.68918
101.484,49.18,31.658,1550873684.15710
101.482,49.23,31.671,1550873686.62638
101.486,49.28,31.683,1550873689.09354
101.483,49.3,31.69,1550873691.56116
101.486,49.27,31.697,1550873694.02154
101.483,49.24,31.704,1550873696.48901
101.481,49.13,31.71,1550873698.95627
101.483,49.07,31.717,1550873701.41647
101.481,49.08,31.723,1550873703.88132
101.483,49.04,31.736,1550873706.34844
101.483,49.02,31.739,1550873708.81579
101.483,49,31.745,1550873711.28315
101.483,49.01,31.751,1550873713.75064
101.482,48.98,31.758,1550873716.21775
101.483,48.97,31.77,1550873718.68489
101.484,48.97,31.769,1550873721.15180
101.484,48.97,31.774,1550873723.61893
101.483,48.99,31.777,1550873726.08601
101.482,49.01,31.776,1550873728.55357
101.484,48.94,31.784,1550873731.01138
101.482,48.9,31.784,1550873733.47873
101.479,48.85,31.789,1550873735.94588
101.481,48.86,31.791,1550873738.41440
101.483,48.89,31.794,1550873740.88169
101.487,48.9,31.799,1550873743.34870
101.482,48.9,31.803,1550873745.81576
101.482,48.9,31.803,1550873748.28347
101.482,48.89,31.803,1550873750.75165
101.482,48.91,31.806,1550873753.21927
101.478,48.86,31.812,1550873755.68190
101.48,48.85,31.808,1550873758.14991
101.479,48.87,31.812,1550873760.61766
101.483,48.84,31.816,1550873763.08502
101.479,48.8,31.822,1550873765.55363
101.486,48.81,31.826,1550873768.02128
101.484,48.83,31.839,1550873770.48911
101.483,48.76,31.842,1550873772.95816
101.48,48.69,31.845,1550873775.42555
101.483,48.66,31.846,1550873777.88641
101.482,48.66,31.848,1550873780.35352
101.481,48.69,31.851,1550873782.82062
101.487,48.65,31.857,1550873785.28771
101.482,48.58,31.855,1550873787.75474
101.48,48.52,31.856,1550873790.22211
101.481,48.47,31.854,1550873792.68926
101.48,48.43,31.853,1550873795.15637
101.481,48.38,31.854,1550873797.62043
101.484,48.36,31.849,1550873800.08822
101.483,48.36,31.847,1550873802.55566
101.479,48.41,31.845,1550873805.02271
101.481,48.45,31.85,1550873807.48971
101.481,48.48,31.857,1550873809.95686
101.483,48.45,31.858,1550873812.42492
101.482,48.45,31.861,1550873814.89221
101.48,48.5,31.868,1550873817.35096
101.481,48.55,31.874,1550873819.81850
101.478,48.6,31.884,1550873822.28624
101.477,48.61,31.888,1550873824.75423
101.479,48.64,31.894,1550873827.22186
101.482,48.69,31.902,1550873829.69010
101.48,48.69,31.905,1550873832.16225
101.479,48.68,31.914,1550873834.62990
101.48,48.73,31.921,1550873837.09750
101.479,48.71,31.924,1550873839.56858
101.48,48.55,31.929,1550873842.03169
101.484,48.5,31.931,1550873844.49157
101.481,48.51,31.925,1550873846.96188
101.478,48.5,31.926,1550873849.43237
101.48,48.5,31.925,1550873851.89183
101.478,48.52,31.919,1550873854.35177
101.478,48.57,31.915,1550873856.81992
101.48,48.66,31.914,1550873859.27962
101.481,48.73,31.919,1550873861.74177
101.48,48.77,31.922,1550873864.20879
101.477,48.74,31.913,1550873866.67906
101.476,48.71,31.922,1550873869.14583
