"","ts","depth","p","dt","Toptode","O2Concentration","AirSaturation","SNoptode","Tec","Conductivity","Salinity","SNec","Chlorophyll","Turbidity","pW","station","SA","rho","Z","O2Comp","lat","lon"
"86","17.07.2018 10:48",5.5505098,159.887,"17.07.2018 20:48",27.423,26.794,10.855,829,27.466,61.101,38.892,1413,"1086","1021",55.756,2,39.07562367,1025.524016,5.54333055,21.56521522082,21.88765,-159.5269167
"87","17.07.2018 10:48",5.6620058,161.007,"17.07.2018 20:48",27.199,14.846,5.991,829,27.296,61.519,39.337,1413,"1302","1382",56.876,2,39.52272451,1025.91566,5.654636985,11.9150547394045,21.88765,-159.5269167
"88","17.07.2018 10:48",5.73776335,161.768,"17.07.2018 20:48",27.279,17.886,7.227,829,27.359,64.667,41.573,1413,"1268","1335",57.637,2,41.76928137,1027.582048,5.730189985,14.1783091314494,21.88765,-159.5269167
"89","17.07.2018 10:48",5.79191855,162.312,"17.07.2018 20:48",27.374,20.175,8.166,829,27.423,72.128,47.027,1413,"1354","1496",58.181,2,47.2490316,1031.68188,5.784047907,15.5151554241928,21.88765,-159.5269167
"90","17.07.2018 10:48",5.8258651,162.653,"17.07.2018 20:48",27.165,11.784,4.752,829,27.258,73.002,47.852,1413,"1337","1332",58.522,2,48.07792667,1032.36187,5.817729802,9.01698529096811,21.88765,-159.5269167
"91","17.07.2018 10:49",5.8499562,162.895,"17.07.2018 20:49",26.706,7.575,3.03,829,26.917,73.377,48.493,1413,"1877","2653",58.764,2,48.72195302,1032.961898,5.841618267,5.77043823362387,21.88765,-159.5269167
"92","17.07.2018 10:50",5.85204675,162.916,"17.07.2018 20:50",26.672,7.255,2.9,829,26.876,73.838,48.887,1413,"1802","1886",58.785,2,49.11781323,1033.274131,5.843690318,5.51409147597965,21.88765,-159.5269167
"93","17.07.2018 10:49",5.8680743,163.077,"17.07.2018 20:49",26.997,10.089,4.056,829,27.134,72.967,47.955,1413,"2198","2589",58.946,2,48.18141289,1032.481737,5.859579734,7.71308282211419,21.88765,-159.5269167
"94","17.07.2018 10:49",5.87076215,163.104,"17.07.2018 20:49",26.74,8.069,3.229,829,26.933,72.792,48.033,1413,"1331","2437",58.973,2,48.25978115,1032.608224,5.862245277,6.16305773272006,21.88765,-159.5269167
"95","17.07.2018 10:49",5.88927845,163.29,"17.07.2018 20:49",27.077,11.06,4.453,829,27.201,73.774,48.494,1413,"2194","3207",59.159,2,48.72295766,1032.867357,5.880604482,8.43122279943612,21.88765,-159.5269167
"96","17.07.2018 10:49",5.89744155,163.372,"17.07.2018 20:49",26.82,8.868,3.554,829,26.989,72.622,47.846,1413,"1359","2902",59.241,2,48.07189821,1032.44798,5.888698954,6.78148474001985,21.88765,-159.5269167
"97","17.07.2018 10:50",5.89823795,163.38,"17.07.2018 20:50",26.634,6.822,2.725,829,26.83,73.949,49.021,1413,"1845","2619",59.249,2,49.2524458,1033.391278,5.889488458,5.18071539405552,21.88765,-159.5269167
"98","17.07.2018 10:49",5.9019213,163.417,"17.07.2018 20:49",26.862,9.14,3.666,829,27.011,72.714,47.892,1413,"1316","2762",59.286,2,48.11811538,1032.47546,5.893139867,6.9882444867583,21.88765,-159.5269167
"99","17.07.2018 10:49",5.9031159,163.429,"17.07.2018 20:49",26.761,8.296,3.322,829,26.941,72.556,47.845,1413,"1269","2526",59.298,2,48.07089347,1032.463315,5.89432464,6.34339088921272,21.88765,-159.5269167
"100","17.07.2018 10:49",5.90719745,163.47,"17.07.2018 20:49",26.786,8.566,3.431,829,26.971,72.579,47.832,1413,"1270","2616",59.339,2,48.05783209,1032.443448,5.898372676,6.55063290326281,21.88765,-159.5269167
"101","17.07.2018 10:49",5.92153265,163.614,"17.07.2018 20:49",26.917,9.449,3.794,829,27.049,72.786,47.907,1413,"1565","2708",59.483,2,48.13318616,1032.474161,5.912590095,7.22465398377117,21.88765,-159.5269167
"102","17.07.2018 11:00",0.01762035,104.298,"17.07.2018 21:00",28.867,262.791,109.22,829,27.475,61.824,39.406,1413,"50","50",0.177,3,39.59205895,1025.88478,0.017587564,211.334350283812,21.887,-159.5271667
"103","17.07.2018 11:00",0.19541665,106.084,"17.07.2018 21:00",28.806,263.375,109.347,829,27.624,61.705,39.194,1413,"152","405",1.963,3,39.3790577,1025.676717,0.195071032,212.034002076763,21.887,-159.5271667
"104","17.07.2018 11:00",0.2122406,106.253,"17.07.2018 21:00",28.587,273.298,113.03,829,27.913,61.711,38.958,1413,"50","50",2.132,3,39.14194338,1025.403495,0.211869322,220.237197181147,21.887,-159.5271667
"105","17.07.2018 11:00",0.21373385,106.268,"17.07.2018 21:00",28.694,269.393,111.625,829,27.786,61.711,39.063,1413,"51","63",2.147,3,39.24743914,1025.524625,0.213360405,216.999373787961,21.887,-159.5271667
"106","17.07.2018 11:01",0.40108695,108.15,"17.07.2018 21:01",28.506,275.82,113.91,829,27.996,61.702,38.882,1413,"249","669",4.029,3,39.06558425,1025.319543,0.400449274,222.337247547153,21.887,-159.5271667
"107","17.07.2018 11:01",0.93726325,113.536,"17.07.2018 21:01",28.29,282.905,116.394,829,28.096,61.579,38.712,1413,"313","743",9.415,3,38.89478078,1025.160619,0.935964431,228.192930433492,21.887,-159.5271667
"108","17.07.2018 11:01",0.937761,113.541,"17.07.2018 21:01",28.431,278.931,115.045,829,28.05,61.631,38.787,1413,"298","737",9.42,3,38.97013489,1025.232377,0.936461589,224.941833078762,21.887,-159.5271667
"109","17.07.2018 11:01",0.9614539,113.779,"17.07.2018 21:01",28.358,280.905,115.709,829,28.088,61.607,38.738,1413,"300","735",9.658,3,38.9209035,1025.182958,0.960126022,226.570498778289,21.887,-159.5271667
"110","17.07.2018 11:01",1.1390511,115.563,"17.07.2018 21:01",28.222,284.522,116.918,829,28.08,61.555,38.708,1413,"405","745",11.442,3,38.89076159,1025.16379,1.137515773,229.480180744131,21.887,-159.5271667
"111","17.07.2018 11:01",1.33426865,117.524,"17.07.2018 21:01",28.172,285.817,117.346,829,28.086,61.504,38.667,1413,"409","738",13.403,3,38.84956771,1025.131763,1.332510161,230.561173194124,21.887,-159.5271667
"112","17.07.2018 11:07",1.45830795,118.77,"17.07.2018 21:07",26.515,83.052,33.103,829,26.402,61.578,40.149,1413,"498","687",14.649,3,40.33856483,1026.80051,1.456308921,66.2719237723701,21.887,-159.5271667
"113","17.07.2018 11:01",1.4721454,118.909,"17.07.2018 21:01",28.134,288.197,118.245,829,28.057,61.568,38.736,1413,"369","735",14.788,3,38.91889329,1025.19394,1.470119118,232.379568407543,21.887,-159.5271667
"114","17.07.2018 11:01",1.5454142,119.645,"17.07.2018 21:01",28.088,288.959,118.461,829,28.045,61.469,38.675,1413,"413","742",15.524,3,38.85760516,1025.152308,1.543302352,233.0573076545,21.887,-159.5271667
"115","17.07.2018 11:01",1.58593105,120.052,"17.07.2018 21:01",28.111,288.589,118.357,829,28.068,61.513,38.688,1413,"425","737",15.931,3,38.87066648,1025.154632,1.58377266,232.750480530726,21.887,-159.5271667
"116","17.07.2018 11:02",1.8902554,123.109,"17.07.2018 21:02",28.063,289.223,118.517,829,28.047,61.455,38.664,1413,"467","739",18.988,3,38.84655271,1025.144839,1.887748542,233.278250850155,21.887,-159.5271667
"117","17.07.2018 11:02",1.9609359,123.819,"17.07.2018 21:02",28.04,289.032,118.389,829,28.021,61.474,38.699,1413,"465","741",19.698,3,38.88171785,1025.180126,1.958347231,233.071219032619,21.887,-159.5271667
"118","17.07.2018 11:02",2.0590922,124.805,"17.07.2018 21:02",28.028,288.542,118.163,829,28.013,61.451,38.689,1413,"448","747",20.684,3,38.87167049,1025.175671,2.056388444,232.685530388847,21.887,-159.5271667
"119","17.07.2018 11:02",2.0841788,125.057,"17.07.2018 21:02",28.024,288.74,118.237,829,28.016,61.469,38.699,1413,"514","747",20.936,3,38.88171767,1025.182313,2.081445603,232.831023067435,21.887,-159.5271667
