"";"ts";"depth";"p";"dt";"Toptode";"O2Concentration";"AirSaturation";"SNoptode";"Tec";"Conductivity";"Salinity";"SNec";"Chlorophyll";"Turbidity";"pW";"station"
"81";"2018-07-17 10:47:33";4.78686175;152.216;2018-07-17 20:47:33;"27.594";"93.421";"37.964";"829";"27.632";"61.142";"38.783";"1413";"773";"854";48.085;2
"82";"2018-07-17 10:47:40";5.05166475;154.876;2018-07-17 20:47:40;"27.567";"80.853";"32.84";"829";"27.616";"61.13";"38.788";"1413";"877";"868";50.745;2
"83";"2018-07-17 10:47:47";5.0503706;154.863;2018-07-17 20:47:47;"27.534";"68.965";"27.996";"829";"27.573";"61.118";"38.814";"1413";"901";"883";50.732;2
"84";"2018-07-17 10:47:53";5.126825;155.631;2018-07-17 20:47:53;"27.505";"58.706";"23.819";"829";"27.546";"61.102";"38.826";"1413";"884";"884";51.5;2
"85";"2018-07-17 10:48:00";5.4511589;158.889;2018-07-17 20:48:00;"27.474";"44.563";"18.071";"829";"27.513";"61.097";"38.85";"1413";"910";"972";54.758;2
"86";"2018-07-17 10:48:07";5.5256223;159.637;2018-07-17 20:48:07;"27.446";"29.872";"12.107";"829";"27.482";"61.099";"38.877";"1413";"1036";"1040";55.506;2
"87";"2018-07-17 10:48:14";5.5505098;159.887;2018-07-17 20:48:14;"27.423";"26.794";"10.855";"829";"27.466";"61.101";"38.892";"1413";"1086";"1021";55.756;2
"88";"2018-07-17 10:48:21";5.53507955;159.732;2018-07-17 20:48:21;"27.404";"25.369";"10.275";"829";"27.457";"61.096";"38.895";"1413";"1169";"1052";55.601;2
"89";"2018-07-17 10:48:28";5.5377674;159.759;2018-07-17 20:48:28;"27.389";"23.241";"9.41";"829";"27.433";"61.1";"38.919";"1413";"1149";"1049";55.628;2
"90";"2018-07-17 10:48:34";5.79191855;162.312;2018-07-17 20:48:34;"27.374";"20.175";"8.166";"829";"27.423";"72.128";"47.027";"1413";"1354";"1496";58.181;2
"91";"2018-07-17 10:48:41";5.73776335;161.768;2018-07-17 20:48:41;"27.279";"17.886";"7.227";"829";"27.359";"64.667";"41.573";"1413";"1268";"1335";57.637;2
"92";"2018-07-17 10:48:48";5.6620058;161.007;2018-07-17 20:48:48;"27.199";"14.846";"5.991";"829";"27.296";"61.519";"39.337";"1413";"1302";"1382";56.876;2
"93";"2018-07-17 10:48:55";5.8258651;162.653;2018-07-17 20:48:55;"27.165";"11.784";"4.752";"829";"27.258";"73.002";"47.852";"1413";"1337";"1332";58.522;2
"94";"2018-07-17 10:49:02";5.88927845;163.29;2018-07-17 20:49:02;"27.077";"11.06";"4.453";"829";"27.201";"73.774";"48.494";"1413";"2194";"3207";59.159;2
"95";"2018-07-17 10:49:08";5.8680743;163.077;2018-07-17 20:49:08;"26.997";"10.089";"4.056";"829";"27.134";"72.967";"47.955";"1413";"2198";"2589";58.946;2
"96";"2018-07-17 10:49:15";5.92153265;163.614;2018-07-17 20:49:15;"26.917";"9.449";"3.794";"829";"27.049";"72.786";"47.907";"1413";"1565";"2708";59.483;2
"97";"2018-07-17 10:49:22";5.9019213;163.417;2018-07-17 20:49:22;"26.862";"9.14";"3.666";"829";"27.011";"72.714";"47.892";"1413";"1316";"2762";59.286;2
"98";"2018-07-17 10:49:29";5.89744155;163.372;2018-07-17 20:49:29;"26.82";"8.868";"3.554";"829";"26.989";"72.622";"47.846";"1413";"1359";"2902";59.241;2
"99";"2018-07-17 10:49:36";5.90719745;163.47;2018-07-17 20:49:36;"26.786";"8.566";"3.431";"829";"26.971";"72.579";"47.832";"1413";"1270";"2616";59.339;2
"100";"2018-07-17 10:49:43";5.9031159;163.429;2018-07-17 20:49:43;"26.761";"8.296";"3.322";"829";"26.941";"72.556";"47.845";"1413";"1269";"2526";59.298;2
"101";"2018-07-17 10:49:49";5.87076215;163.104;2018-07-17 20:49:49;"26.74";"8.069";"3.229";"829";"26.933";"72.792";"48.033";"1413";"1331";"2437";58.973;2
"102";"2018-07-17 10:49:56";5.8499562;162.895;2018-07-17 20:49:56;"26.706";"7.575";"3.03";"829";"26.917";"73.377";"48.493";"1413";"1877";"2653";58.764;2
"103";"2018-07-17 10:50:03";5.85204675;162.916;2018-07-17 20:50:03;"26.672";"7.255";"2.9";"829";"26.876";"73.838";"48.887";"1413";"1802";"1886";58.785;2
"104";"2018-07-17 10:50:10";5.89823795;163.38;2018-07-17 20:50:10;"26.634";"6.822";"2.725";"829";"26.83";"73.949";"49.021";"1413";"1845";"2619";59.249;2
"105";"2018-07-17 10:50:17";5.45802785;158.958;2018-07-17 20:50:17;"26.652";"6.093";"2.434";"829";"26.845";"61.437";"39.662";"1413";"1324";"2381";54.827;2
"106";"2018-07-17 10:50:24";3.2351759;136.629;2018-07-17 20:50:24;"26.889";"25.288";"10.148";"829";"26.94";"61.402";"39.555";"1413";"694";"726";32.498;2
"107";"2018-07-17 10:50:30";0.757177299999999;111.737;2018-07-17 20:50:30;"27.178";"78.13";"31.515";"829";"27.175";"61.488";"39.417";"1413";"580";"734";7.60599999999999;2
"108";"2018-07-17 11:00:35";0.0176203500000007;104.298;2018-07-17 21:00:35;"28.867";"262.791";"109.22";"829";"27.475";"61.824";"39.406";"1413";"50";"50";0.177000000000007;3
"109";"2018-07-17 11:00:42";0.195416650000001;106.084;2018-07-17 21:00:42;"28.806";"263.375";"109.347";"829";"27.624";"61.705";"39.194";"1413";"152";"405";1.96300000000001;3
"110";"2018-07-17 11:00:49";0.213733850000001;106.268;2018-07-17 21:00:49;"28.694";"269.393";"111.625";"829";"27.786";"61.711";"39.063";"1413";"51";"63";2.14700000000001;3
"111";"2018-07-17 11:00:56";0.212240600000001;106.253;2018-07-17 21:00:56;"28.587";"273.298";"113.03";"829";"27.913";"61.711";"38.958";"1413";"50";"50";2.13200000000001;3
"112";"2018-07-17 11:01:03";0.401086950000001;108.15;2018-07-17 21:01:03;"28.506";"275.82";"113.91";"829";"27.996";"61.702";"38.882";"1413";"249";"669";4.02900000000001;3
"113";"2018-07-17 11:01:10";0.937761;113.541;2018-07-17 21:01:10;"28.431";"278.931";"115.045";"829";"28.05";"61.631";"38.787";"1413";"298";"737";9.42;3
"114";"2018-07-17 11:01:16";0.9614539;113.779;2018-07-17 21:01:16;"28.358";"280.905";"115.709";"829";"28.088";"61.607";"38.738";"1413";"300";"735";9.658;3
"115";"2018-07-17 11:01:23";0.937263250000001;113.536;2018-07-17 21:01:23;"28.29";"282.905";"116.394";"829";"28.096";"61.579";"38.712";"1413";"313";"743";9.41500000000001;3
"116";"2018-07-17 11:01:30";1.1390511;115.563;2018-07-17 21:01:30;"28.222";"284.522";"116.918";"829";"28.08";"61.555";"38.708";"1413";"405";"745";11.442;3
"117";"2018-07-17 11:01:37";1.33426865;117.524;2018-07-17 21:01:37;"28.172";"285.817";"117.346";"829";"28.086";"61.504";"38.667";"1413";"409";"738";13.403;3
"118";"2018-07-17 11:01:44";1.4721454;118.909;2018-07-17 21:01:44;"28.134";"288.197";"118.245";"829";"28.057";"61.568";"38.736";"1413";"369";"735";14.788;3
"119";"2018-07-17 11:01:50";1.58593105;120.052;2018-07-17 21:01:50;"28.111";"288.589";"118.357";"829";"28.068";"61.513";"38.688";"1413";"425";"737";15.931;3
"120";"2018-07-17 11:01:57";1.5454142;119.645;2018-07-17 21:01:57;"28.088";"288.959";"118.461";"829";"28.045";"61.469";"38.675";"1413";"413";"742";15.524;3
"121";"2018-07-17 11:02:04";1.8902554;123.109;2018-07-17 21:02:04;"28.063";"289.223";"118.517";"829";"28.047";"61.455";"38.664";"1413";"467";"739";18.988;3
"122";"2018-07-17 11:02:11";1.9609359;123.819;2018-07-17 21:02:11;"28.04";"289.032";"118.389";"829";"28.021";"61.474";"38.699";"1413";"465";"741";19.698;3
"123";"2018-07-17 11:02:18";2.0841788;125.057;2018-07-17 21:02:18;"28.024";"288.74";"118.237";"829";"28.016";"61.469";"38.699";"1413";"514";"747";20.936;3
"124";"2018-07-17 11:02:25";2.0590922;124.805;2018-07-17 21:02:25;"28.028";"288.542";"118.163";"829";"28.013";"61.451";"38.689";"1413";"448";"747";20.684;3
"125";"2018-07-17 11:02:31";2.46017915;128.834;2018-07-17 21:02:31;"28.02";"285.92";"117.074";"829";"28.003";"61.413";"38.67";"1413";"552";"744";24.713;3
"126";"2018-07-17 11:02:38";2.5271763;129.507;2018-07-17 21:02:38;"28.005";"283.708";"116.138";"829";"27.996";"61.399";"38.666";"1413";"559";"751";25.386;3
"127";"2018-07-17 11:02:45";2.5749603;129.987;2018-07-17 21:02:45;"27.992";"282.18";"115.484";"829";"27.988";"61.405";"38.677";"1413";"568";"756";25.866;3
"128";"2018-07-17 11:02:52";2.69770545;131.22;2018-07-17 21:02:52;"27.98";"280.596";"114.811";"829";"27.99";"61.409";"38.678";"1413";"572";"752";27.099;3
"129";"2018-07-17 11:02:59";2.69870095;131.23;2018-07-17 21:02:59;"27.971";"280.211";"114.636";"829";"27.977";"61.417";"38.695";"1413";"563";"744";27.109;3
"130";"2018-07-17 11:03:05";2.64175835;130.658;2018-07-17 21:03:05;"27.965";"279.96";"114.521";"829";"27.968";"61.406";"38.694";"1413";"563";"755";26.537;3
"131";"2018-07-17 11:03:12";2.4774013;129.007;2018-07-17 21:03:12;"27.96";"279.227";"114.212";"829";"27.968";"61.422";"38.705";"1413";"565";"756";24.886;3
"132";"2018-07-17 11:03:19";2.53145695;129.55;2018-07-17 21:03:19;"27.957";"278.888";"114.067";"829";"27.963";"61.424";"38.711";"1413";"566";"751";25.429;3
