p_int,rh_int,t_int,ts
107.519,10.77,29.395,1550804226.2946227
107.542,10.78,29.405,1550804236.8376365
107.557,10.79,29.422,1550804247.3815556
107.575,10.79,29.44,1550804257.91699
107.591,10.8,29.461,1550804268.4429061
107.608,10.81,29.484,1550804278.9458666
107.615,10.81,29.508,1550804289.4581072
107.624,10.82,29.53,1550804299.942887
107.627,10.83,29.535,1550804310.4756985
107.638,10.83,29.562,1550804320.9844706
107.64,10.84,29.581,1550804331.5164578
107.642,10.84,29.601,1550804342.0305567
107.643,10.84,29.616,1550804352.5666673
107.646,10.84,29.639,1550804363.1134706
107.646,10.84,29.657,1550804373.6465902
107.646,10.85,29.68,1550804384.1756735
107.649,10.85,29.721,1550804394.6796546
107.653,10.85,29.736,1550804405.2045343
107.65,10.85,29.753,1550804415.7066267
107.651,10.85,29.761,1550804426.2365615
107.653,10.84,29.788,1550804436.7381256
107.656,10.84,29.814,1550804447.2423506
107.658,10.84,29.836,1550804457.7545044
107.656,10.84,29.84,1550804468.2893465
107.653,10.84,29.861,1550804478.7993357
107.647,10.84,29.867,1550804489.3180935
107.648,10.82,29.884,1550804499.8500094
107.641,10.83,29.913,1550804510.3340933
107.638,10.82,29.919,1550804520.8244429
107.631,10.82,29.921,1550804531.3307652
107.619,10.82,29.927,1550804541.8518493
107.612,10.81,29.951,1550804552.3421328
107.591,10.81,29.951,1550804562.8749073
107.584,10.81,29.968,1550804573.410126
107.576,10.8,29.968,1550804583.937023
107.57,10.79,29.988,1550804594.481188
107.554,10.78,30.012,1550804604.9803584
107.549,10.78,30.003,1550804615.5102503
107.53,10.78,30.008,1550804626.030355
107.523,10.77,30.021,1550804636.5408928
107.513,10.77,30.028,1550804647.0711324
107.499,10.76,30.035,1550804657.5906882
107.49,10.75,30.023,1550804668.1149366
107.469,10.75,30.025,1550804678.6614864
107.461,10.74,30.043,1550804689.2245603
107.451,10.73,30.04,1550804699.743946
107.437,10.72,30.036,1550804710.2817118
107.427,10.71,30.032,1550804720.825409
107.419,10.71,30.049,1550804731.3181021
107.404,10.7,30.038,1550804741.8477843
107.396,10.69,30.041,1550804752.3814437
107.384,10.68,30.035,1550804762.892935
107.374,10.67,30.025,1550804773.4383042
