alt,lat,long,ts,ts_gps
20.671,21.886036574,-159.527612544,1478195838.8675475,2019-02-23T17:14:28.000Z
20.671,21.886036574,-159.527612544,1478195838.9800763,2019-02-23T17:14:29.000Z
21.216,21.886034598,-159.527624994,1478195839.530843,2019-02-23T17:14:30.000Z
21.216,21.886034598,-159.527624994,1478195840.530525,2019-02-23T17:14:31.000Z
21.216,21.886034598,-159.527624994,1478195842.4410882,2019-02-23T17:14:31.000Z
21.216,21.886034598,-159.527624994,1478195842.553527,2019-02-23T17:14:32.000Z
20.843,21.886026218,-159.527624994,1478195843.179059,2019-02-23T17:14:33.000Z
20.843,21.886026218,-159.527624994,1478195843.6297653,2019-02-23T17:14:34.000Z
20.843,21.886026218,-159.527624994,1478195844.8875918,2019-02-23T17:14:34.000Z
20.346,21.886037752,-159.527621609,1478195845.0001676,2019-02-23T17:14:35.000Z
20.346,21.886037752,-159.527621609,1478195845.5473278,2019-02-23T17:14:36.000Z
20.671,21.886036574,-159.527612544,1478195846.530706,2019-02-23T17:14:37.000Z
20.671,21.886036574,-159.527612544,1478195847.869297,2019-02-23T17:14:37.000Z
20.671,21.886036574,-159.527612544,1478195847.9817183,2019-02-23T17:14:38.000Z
20.671,21.886036574,-159.527612544,1478195848.5314047,2019-02-23T17:14:39.000Z
20.671,21.886036574,-159.527612544,1478195849.529732,2019-02-23T17:14:40.000Z
20.671,21.886036574,-159.527612544,1478195850.8674974,2019-02-23T17:14:40.000Z
19.802,21.886039728,-159.52760916,1478195850.9801168,2019-02-23T17:14:41.000Z
20.671,21.886036574,-159.527612544,1478195851.5361,2019-02-23T17:14:42.000Z
20.671,21.886036574,-159.527612544,1478195852.5313303,2019-02-23T17:14:43.000Z
20.671,21.886036574,-159.527612544,1478195853.8679662,2019-02-23T17:14:43.000Z
19.802,21.886039728,-159.52760916,1478195853.9804926,2019-02-23T17:14:44.000Z
19.802,21.886039728,-159.52760916,1478195854.5475295,2019-02-23T17:14:45.000Z
19.802,21.886039728,-159.52760916,1478195855.5484672,2019-02-23T17:14:46.000Z
19.802,21.886039728,-159.52760916,1478195856.8700104,2019-02-23T17:14:46.000Z
19.802,21.886039728,-159.52760916,1478195856.982538,2019-02-23T17:14:47.000Z
20.126,21.886038551,-159.527600094,1478195857.6082683,2019-02-23T17:14:48.000Z
20.126,21.886038551,-159.527600094,1478195858.5325513,2019-02-23T17:14:49.000Z
20.126,21.886038551,-159.527600094,1478195859.8841462,2019-02-23T17:14:49.000Z
20.126,21.886038551,-159.527600094,1478195859.996729,2019-02-23T17:14:50.000Z
20.451,21.886037373,-159.527591029,1478195860.5314577,2019-02-23T17:14:51.000Z
20.451,21.886037373,-159.527591029,1478195861.5322926,2019-02-23T17:14:52.000Z
20.451,21.886037373,-159.527591029,1478195862.8695865,2019-02-23T17:14:52.000Z
19.581,21.886040527,-159.527587645,1478195862.9820364,2019-02-23T17:14:53.000Z
19.581,21.886040527,-159.527587645,1478195863.5316193,2019-02-23T17:14:54.000Z
20.078,21.886028993,-159.527591029,1478195864.5312936,2019-02-23T17:14:55.000Z
20.078,21.886028993,-159.527591029,1478195865.8840575,2019-02-23T17:14:55.000Z
20.078,21.886028993,-159.527591029,1478195865.9965987,2019-02-23T17:14:56.000Z
20.078,21.886028993,-159.527591029,1478195866.5487635,2019-02-23T17:14:57.000Z
19.209,21.886032147,-159.527587645,1478195867.5483494,2019-02-23T17:14:58.000Z
19.209,21.886032147,-159.527587645,1478195868.8685024,2019-02-23T17:14:58.000Z
19.209,21.886032147,-159.527587645,1478195868.9796762,2019-02-23T17:14:59.000Z
19.581,21.886040527,-159.527587645,1478195869.5479426,2019-02-23T17:15:00.000Z
19.581,21.886040527,-159.527587645,1478195870.5316923,2019-02-23T17:15:01.000Z
19.581,21.886040527,-159.527587645,1478195871.8741212,2019-02-23T17:15:01.000Z
