alx,b,Deg.C,depth_m,dt,g,kPa,r,ts,w,wlx
20723.4,6503.9,36.485,0.030561850000000213,2016-11-03T09:29:40.390748,10035.0,104.284,9584.2,1478201380.390716,15521.1,57883.7
20705.8,6519.8,36.492,0.033647899999999384,2016-11-03T09:29:41.798064,10046.1,104.315,9587.2,1478201381.7980404,15523.6,57919.4
20735.1,6519.8,36.505,0.035638899999998995,2016-11-03T09:29:43.204728,10034.2,104.335,9589.5,1478201383.204697,15528.2,57955.1
20746.8,6511.0,36.519,0.034643399999999894,2016-11-03T09:29:44.612739,10057.6,104.325,9606.4,1478201384.61271,15523.6,57705.5
20647.3,6503.2,36.526,0.03444429999999895,2016-11-03T09:29:46.025388,10062.7,104.323,9604.6,1478201386.0253577,15521.4,57955.1
20583.1,6512.2,36.539,0.03822720000000003,2016-11-03T09:29:47.431997,10061.9,104.361,9595.6,1478201387.4319665,15527.4,58062.4
20764.5,6506.9,36.548,0.0312586999999993,2016-11-03T09:29:48.844737,10045.6,104.291,9597.8,1478201388.8447077,15523.4,57973.0
20612.3,6520.0,36.559,0.030960049999999285,2016-11-03T09:29:50.252073,10039.0,104.288,9589.8,1478201390.2520494,15521.4,57723.3
20641.4,6519.3,36.568,0.035240699999999923,2016-11-03T09:29:51.659446,10033.2,104.331,9583.7,1478201391.6594212,15518.8,58062.4
20577.3,6522.3,36.579,0.032055100000000274,2016-11-03T09:29:53.070708,10055.1,104.299,9583.5,1478201393.0706806,15520.9,57973.0
20682.3,6529.3,36.586,0.03046229999999974,2016-11-03T09:29:54.478741,10033.0,104.283,9598.1,1478201394.4787166,15521.1,58062.4
20606.4,6526.8,36.588,0.030960049999999285,2016-11-03T09:29:55.891003,10042.8,104.288,9580.7,1478201395.890972,15516.8,57634.3
20705.8,6497.9,36.594,0.033647899999999384,2016-11-03T09:29:57.297580,10041.0,104.315,9595.8,1478201397.297549,15517.6,57527.8
20723.4,6518.3,36.59,0.03534024999999898,2016-11-03T09:29:58.704248,10045.3,104.332,9589.8,1478201398.7042198,15520.9,57634.3
20583.1,6522.0,36.591,0.03324970000000032,2016-11-03T09:30:00.116420,10037.8,104.311,9583.7,1478201400.1163967,15521.1,57758.9
20583.1,6528.1,36.594,0.03275194999999936,2016-11-03T09:30:01.523192,10044.8,104.306,9581.2,1478201401.5231698,15522.4,57883.7
20647.3,6542.9,36.594,0.03613664999999996,2016-11-03T09:30:02.935045,10037.8,104.34,9576.2,1478201402.9350219,15522.9,57794.5
20729.2,6527.3,36.589,0.0339465499999994,2016-11-03T09:30:04.342815,10053.9,104.318,9584.5,1478201404.3427863,15518.3,57919.4
20594.8,6496.6,36.585,0.03324970000000032,2016-11-03T09:30:05.753525,10038.5,104.311,9600.8,1478201405.7534964,15518.3,57456.9
20647.3,6508.9,36.585,0.029267699999999695,2016-11-03T09:30:07.160929,10034.7,104.271,9582.5,1478201407.1609046,15521.6,57973.0
20670.6,6504.9,36.586,0.028570849999999193,2016-11-03T09:30:08.568314,10056.4,104.264,9594.8,1478201408.5682805,15514.8,57937.3
20618.1,6510.5,36.587,0.029964550000000194,2016-11-03T09:30:09.980601,10031.5,104.278,9578.7,1478201409.9805722,15523.6,58008.8
20670.6,6517.3,36.589,0.028371749999999658,2016-11-03T09:30:11.388554,10046.8,104.262,9581.7,1478201411.3885252,15514.8,57883.7
20770.3,6502.7,36.583,0.037331249999999996,2016-11-03T09:30:12.796351,10060.4,104.352,9583.7,1478201412.7963264,15532.7,57955.1
20682.3,6522.5,36.58,0.035738449999999464,2016-11-03T09:30:14.202664,10065.9,104.336,9592.3,1478201414.2026422,15525.9,57955.1
20717.5,6513.2,36.575,0.029864999999999715,2016-11-03T09:30:15.610068,10040.8,104.277,9599.3,1478201415.6100376,15527.4,57563.3
20782.1,6516.0,36.575,0.0383267499999991,2016-11-03T09:30:17.023171,10038.8,104.362,9607.4,1478201417.023139,15523.9,57830.2
20717.5,6529.3,36.573,0.036335749999999487,2016-11-03T09:30:18.430556,10054.4,104.342,9588.3,1478201418.430525,15525.1,57598.8
20623.9,6511.2,36.576,0.03384699999999892,2016-11-03T09:30:19.843056,10054.6,104.317,9599.1,1478201419.843029,15531.9,58152.0
20735.1,6506.7,36.579,0.038426299999999566,2016-11-03T09:30:21.250362,10057.4,104.363,9588.3,1478201421.2503374,15523.6,58116.2
20629.8,6529.3,36.589,0.03583799999999994,2016-11-03T09:30:22.656644,10030.2,104.337,9573.2,1478201422.6566184,15522.9,57527.8
20776.2,6505.4,36.599,0.03782899999999955,2016-11-03T09:30:24.068373,10031.7,104.357,9595.6,1478201424.0683498,15517.6,58044.5
20688.2,6533.6,36.608,0.039222699999999125,2016-11-03T09:30:25.475023,10033.5,104.371,9598.8,1478201425.4749935,15524.6,57669.9
20571.5,6501.9,36.623,0.039023599999999596,2016-11-03T09:30:26.887343,10057.9,104.369,9582.2,1478201426.8873155,15516.3,57794.5
20606.4,6495.1,36.635,0.03693304999999951,2016-11-03T09:30:28.294607,10034.0,104.348,9596.1,1478201428.2945843,15517.3,57812.3
20554.1,6504.4,36.643,0.03046229999999974,2016-11-03T09:30:29.705372,10038.0,104.283,9573.4,1478201429.705348,15519.6,58008.8
20670.6,6510.0,36.652,0.03474294999999896,2016-11-03T09:30:31.117823,10030.7,104.326,9593.0,1478201431.1178,15521.1,57848.0
20688.2,6497.6,36.667,0.036634399999999505,2016-11-03T09:30:32.525211,10045.1,104.345,9572.9,1478201432.5251894,15517.6,57848.0
20764.5,6504.7,36.672,0.031457800000000244,2016-11-03T09:30:33.939480,10025.4,104.293,9584.2,1478201433.9394498,15519.3,58187.9
20635.6,6486.5,36.674,0.0393222499999996,2016-11-03T09:30:35.348306,10036.2,104.372,9586.7,1478201435.3482814,15519.3,57652.1
20629.8,6523.5,36.672,0.03952134999999914,2016-11-03T09:30:36.758250,10030.2,104.374,9581.2,1478201436.7582178,15524.1,57865.8
20817.4,6508.2,36.665,0.031358249999999775,2016-11-03T09:30:38.164855,10045.1,104.292,9588.5,1478201438.164825,15523.4,58295.6
20647.3,6516.2,36.663,0.03623619999999901,2016-11-03T09:30:39.571589,10038.0,104.341,9588.8,1478201439.571563,15519.8,57510.1
20653.1,6516.8,36.652,0.039222699999999125,2016-11-03T09:30:40.986139,10035.0,104.371,9576.7,1478201440.9861157,15519.3,57848.0
20711.6,6522.5,36.651,0.03454384999999942,2016-11-03T09:30:42.393753,10036.0,104.324,9580.7,1478201442.3937242,15521.1,58062.4
20723.4,6520.0,36.651,0.03165689999999979,2016-11-03T09:30:43.802712,10031.2,104.295,9581.5,1478201443.8026855,15517.6,57669.9
20629.8,6538.4,36.647,0.03265240000000029,2016-11-03T09:30:45.212235,10039.0,104.305,9579.2,1478201445.2122118,15520.6,57830.2
20629.8,6497.4,36.648,0.032353750000000285,2016-11-03T09:30:46.619955,10035.0,104.302,9572.6,1478201446.6199272,15524.9,57865.8
20623.9,6503.9,36.644,0.02966590000000018,2016-11-03T09:30:48.034103,10045.1,104.275,9595.3,1478201448.0340807,15522.4,57634.3
20711.6,6527.8,36.645,0.03553934999999993,2016-11-03T09:30:49.441689,10044.3,104.334,9596.8,1478201449.4416575,15524.9,58223.8
20682.3,6515.2,36.642,0.03185599999999932,2016-11-03T09:30:50.853465,10041.3,104.297,9585.5,1478201450.8534408,15524.6,57848.0
20741.0,6500.6,36.635,0.03583799999999994,2016-11-03T09:30:52.260371,10054.4,104.337,9602.1,1478201452.2603414,15516.6,57723.3
20746.8,6507.9,36.632,0.027575350000000103,2016-11-03T09:30:53.668080,10050.3,104.254,9604.1,1478201453.6680539,15531.4,57973.0
